movie_title,production_budget_usd,worldwide_budget_usd
Down & Out with the Dolls,1200000.00,58936.00
Cheap Thrills,100000.00,59424.00
Il conformista,750000.00,59656.00
Frontera,2300000.00,59696.00
Winnie Mandela,15000000.00,61847.00
The Canyons,250000.00,62375.00
The Mudge Boy,800000.00,62544.00
Creative Control,1000000.00,63014.00
Nothing,4000000.00,63180.00
Stitches,2000000.00,63555.00
Aberdeen,6500000.00,64148.00
Among Giants,4000000.00,64359.00
Stuck,5000000.00,67505.00
Happy Valley,250000.00,67665.00
Stiff Upper Lips,5700000.00,69582.00
Eulogy,10000000.00,70527.00
Pierrot le fou,300000.00,70807.00
Timber Falls,2600000.00,71248.00
Cavite,7000.00,71644.00
Eye of the Dolphin,2500000.00,72260.00
Pump,2000000.00,72277.00
24 7: Twenty Four Seven,2000000.00,72544.00
Foodfight!,45000000.00,73706.00
An Everlasting Piece,4000000.00,75078.00
Silent Trigger,15000000.00,76382.00
Eureka,2000000.00,76654.00
Scott Walker: 30 Century Man,500000.00,77121.00
Banshee Chapter,950000.00,78122.00
Fort McCoy,3000000.00,78948.00
Nomad,40000000.00,79123.00
Extreme Movie,1200000.00,81338.00
Dracula: Pages from a Virgin's Diary,1100000.00,81371.00
Diamonds,11900000.00,81897.00
Funny Ha Ha,30000.00,82698.00
They Came Together,3000000.00,82780.00
Fascination,5000000.00,83356.00
51 Birch Street,350000.00,84689.00
Broken Vessels,600000.00,85343.00
Leaves of Grass,9000000.00,85527.00
First Morning,300000.00,87264.00
5 Days of War,12000000.00,87793.00
Home Movies,400000.00,89134.00
The Hebrew Hammer,1300000.00,90213.00
Adam Resurrected,10000000.00,90909.00
Red Sky,25000000.00,91116.00
Mean Machine,4500000.00,92723.00
Cure,10000.00,94596.00
Vamps,16000000.00,94812.00
Sommersturm,3000000.00,95204.00
Hardflip,1000000.00,96734.00
Decoys,5000000.00,96760.00
D.E.B.S.,3500000.00,96793.00
Desert Blue,5000000.00,99147.00
8: The Mormon Proposition,2500000.00,100280.00
Beyond the Brick: A LEGO Brickumentary,1000000.00,101531.00
George A. Romero's Survival of the Dead,4200000.00,101740.00
The Gambler,3000000.00,101773.00
Saint John of Las Vegas,2000000.00,102645.00
The House of the Devil,1000000.00,102812.00
Mutual Appreciation,30000.00,103509.00
Criminal Activities,7000000.00,103962.00
Freeze Frame,2000000.00,105377.00
The Good Guy,10000000.00,106466.00
Sleep Dealer,2500000.00,108907.00
Elsa & Fred,10000000.00,109144.00
Blood Done Sign My Name,10000000.00,109383.00
The Lost Skeleton of Cadavra,100000.00,110536.00
Woman Chaser,150000.00,110719.00
Road Hard,1500000.00,113169.00
Lisa Picard is Famous,1000000.00,113433.00
Winter Passing,3500000.00,113783.00
Breaking Upwards,15000.00,115592.00
The Grand,3000000.00,115879.00
The Greatest,6000000.00,117796.00
Gentlemen Broncos,9500000.00,118482.00
Valley of the Hearts Delight,2500000.00,118666.00
Come Early Morning,6000000.00,119452.00
Stolen Summer,1500000.00,119841.00
Trust,4000000.00,120016.00
Tycoon,5000000.00,121016.00
Hum to Mohabbt Karega,2000000.00,121807.00
Antiviral,3100000.00,123407.00
There Goes My Baby,10500000.00,125169.00
Police Academy 7: Mission to Moscow,10000000.00,126247.00
E tu vivrai nel terrore - L'aldilà,400000.00,126387.00
The Wendell Baker Story,8000000.00,127188.00
Yi ge ren de wu lin,25000000.00,129115.00
Dil Jo Bhi Kahey...,1600000.00,129319.00
An Inconvenient Sequel,1000000.00,130874.00
The Eclipse,3000000.00,133411.00
Six-String Samurai,2000000.00,134624.00
Accidental Love,26000000.00,135436.00
Clean,10000.00,138711.00
The Salon,1500000.00,139084.00
Chacun sa nuit,1900000.00,139317.00
Baghead,200000.00,140016.00
Bilal,30000000.00,141661.00
No Looking Back,5000000.00,143273.00
Space Pirate Captain Harlock,30000000.00,143490.00
10th & Wolf,8000000.00,143782.00
Bubble,1600000.00,145382.00
The Land Girls,8000000.00,146083.00
Love Ranch,25000000.00,146149.00
Mondays in the Sun,4000000.00,146402.00
The Last Five Years,2000000.00,147299.00
The Red Riding Trilogy: 1974,9000000.00,148826.00
Kicks,10000000.00,150191.00
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,500000.00,152449.00
The Divide,3000000.00,156362.00
The Horse Boy,160000.00,156612.00
Carlos,18000000.00,157002.00
Strangerland,10000000.00,161097.00
Hybrid,200000.00,162605.00
Holly,3000000.00,163069.00
The Last Godfather,13400000.00,164247.00
Modern Times,1500000.00,165049.00
United Passions,30000000.00,168832.00
The Fits,170000.00,169242.00
Escape from Tomorrow,650000.00,171962.00
Forty Shades of Blue,1500000.00,172569.00
Freakonomics,2900000.00,172867.00
My Name is Bruce,1500000.00,173066.00
"Cinco de Mayo, La Batalla",10000000.00,173472.00
Mercy Streets,600000.00,173599.00
Barbecue,10000000.00,173613.00
Fuel,2500000.00,174255.00
The Business of Fancy Dancing,200000.00,174682.00
All You Need Is Love,300000.00,177507.00
Sugar Town,250000.00,178095.00
Breakfast of Champions,12000000.00,178287.00
My Date With Drew,1100.00,181041.00
The Flower of Evil,6000000.00,181798.00
Pourquoi j'ai pas mangé mon père,42000000.00,182156.00
Go For It!,2450000.00,182358.00
The Masked Saint,3500000.00,182695.00
All or Nothing,9000000.00,184255.00
Amigo,1500000.00,184705.00
The Big Tease,4000000.00,185577.00
November,250000.00,191862.00
I Want Someone To Eat Cheese With,1500000.00,194568.00
The Terrorist,25000.00,195043.00
The Puffy Chair,15000.00,195254.00
The Heart of Me,7000000.00,196067.00
Dragon Nest Warriors' Dawn,40000000.00,196090.00
Fateless,12000000.00,196857.00
Repo! The Genetic Opera,8500000.00,198883.00
Cama adentro,800000.00,200433.00
I Married a Strange Person,250000.00,203134.00
Betty Fisher et autres histoires,7500000.00,206400.00
La fille du RER,9000000.00,208163.00
Def-Con 4,1300000.00,210904.00
Call+Response,200000.00,212989.00
Love Lisa,1000000.00,213137.00
Once in a Lifetime: the Extraordinary Story of the New York Cosmos,1000000.00,215559.00
Critical Care,12000000.00,220175.00
Steal (Canadian Release),15000000.00,220944.00
Ira and Abby,3500000.00,221096.00
Tim and Eric's Billion Dollar Movie,3000000.00,223652.00
"Remember Me, My Love",6700000.00,223878.00
High Heels and Low Lifes,10000000.00,226792.00
Guiana 1838,1000000.00,227241.00
Undead,750000.00,229250.00
One Man's Hero,18000000.00,229311.00
Brighton Rock,11000000.00,229653.00
Middle of Nowhere,200000.00,236806.00
Housebound,1500000.00,236863.00
On the Outs,250000.00,237816.00
Driving Lessons,4700000.00,239962.00
Hatchet,1500000.00,240396.00
Following,6000.00,240495.00
Edmond,10000000.00,241719.00
Two Night Stand,1600000.00,242443.00
Braindead,3000000.00,242623.00
The Legend of God's Gun,30000.00,243768.00
La femme de chambre du Titanic,10000000.00,244465.00
Sex with Strangers,1100000.00,247740.00
Love's Abiding Joy,3000000.00,252726.00
Civil Brand,500000.00,254293.00
Q,1200000.00,255000.00
The Last Days on Mars,10600000.00,261364.00
The Lucky Ones,14000000.00,266967.00
Morvern Callar,6000000.00,267194.00
Psycho Beach Party,4000000.00,267972.00
Shichinin no samurai,500000.00,271736.00
Amen,14000000.00,274299.00
Smiling Fish and Goat on Fire,40000.00,277233.00
The Tempest,20000000.00,277943.00
Life During Wartime,4500000.00,281447.00
"Lovely, Still",5000000.00,282687.00
Shotgun Stories,250000.00,284174.00
Stranded,1900000.00,285593.00
Penitentiary,100000.00,287000.00
Above and Beyond,1300000.00,288751.00
Antarctica: A Year on Ice,1000000.00,288757.00
Imaginary Heroes,10000000.00,290875.00
3,7200000.00,295492.00
Freeway,3000000.00,295493.00
World's Greatest Dad,10000000.00,295750.00
Shooting Fish,4000000.00,302204.00
Taxi to the Dark Side,1000000.00,304472.00
Stonewall,2000000.00,304602.00
Rapa Nui,20000000.00,305070.00
Chairman of the Board,7000000.00,306715.00
Never Again,500000.00,308793.00
My Dog Tulip,350000.00,310891.00
San qiang pai an jing qi,12000000.00,310946.00
Cargo,4200000.00,313230.00
Elling,2100000.00,313436.00
Jungle Shuffle,10000000.00,314073.00
The Other Dream Team,500000.00,314444.00
The Informers,18000000.00,315000.00
The Yellow Handkerchief,15500000.00,318623.00
The Last Waltz,35000.00,321952.00
Desert Dancer,4000000.00,324218.00
City of Ghosts,17500000.00,325491.00
Neal n' Nikki,1300000.00,329621.00
Creature,3000000.00,331000.00
Standard Operating Procedure,5000000.00,332120.00
The Good Heart,3800000.00,340930.00
George Washington,42000.00,342722.00
Malevolence,200000.00,346106.00
Due occhi diabolici,9000000.00,349618.00
Albino Alligator,5000000.00,353480.00
Buffalo Soldiers,15000000.00,353743.00
Prison,4000000.00,354704.00
The Invitation,1000000.00,354836.00
Welcome to the Rileys,10000000.00,355919.00
The Young and Prodigious T.S. Spivet,33000000.00,357687.00
Southland Tales,17000000.00,364607.00
Hurricane Streets,500000.00,367582.00
Deterrence,800000.00,371647.00
MOOZ-lum,1500000.00,372239.00
Joe,4000000.00,373375.00
Let's Talk About Sex,300000.00,373615.00
The Game of Their Lives,20000000.00,375474.00
Before We Go,3000000.00,379161.00
The Quiet,900000.00,381420.00
Hesher,7000000.00,382946.00
Adoration,4000000.00,384244.00
The Last Sin Eater,2200000.00,388390.00
The First Great Train Robbery,6000000.00,391942.00
The Loss of Sexual Innocence,4000000.00,399793.00
Old Joy,300000.00,399908.00
The Signal,50000.00,406299.00
Drinking Buddies,500000.00,407100.00
Bottle Rocket,5000000.00,407488.00
The 5th Quarter,6000000.00,408159.00
The Boondock Saints,7000000.00,411874.00
The Brass Teapot,900000.00,413733.00
Pink Flamingos,12000.00,413802.00
Snow Angels,1500000.00,414404.00
The Death and Life of Bobby Z,8000000.00,414617.00
Dead Man's Shoes,1125000.00,414736.00
Killing Zoe,1500000.00,418953.00
Out of the Dark,1600000.00,419428.00
Foolproof,5800000.00,421021.00
Tiny Furniture,50000.00,424149.00
Luminarias,1000000.00,428535.00
Backmask,25000.00,428923.00
Sound of My Voice,135000.00,429448.00
I Want Your Money,400000.00,433588.00
Blue Ruin,420000.00,435168.00
Short Cut to Nirvana: Kumbh Mela,200000.00,439651.00
Grabbers,5300000.00,440821.00
A Lonely Place to Die,4000000.00,442550.00
The Hammer,850000.00,442638.00
Dear Wendy,8000000.00,446438.00
Sunday,450000.00,450349.00
Brother,12000000.00,450594.00
The Legend of Suriyothai,9000000.00,454255.00
Fido,8000000.00,456814.00
Gunless,9900000.00,458054.00
Brooklyn Rules,8000000.00,458232.00
Kill List,800000.00,462206.00
Wah-Wah,7000000.00,463039.00
The Last Shot,40000000.00,463730.00
House of D,2000000.00,466106.00
Wristcutters: A Love Story,1000000.00,473769.00
Artie Lange's Beer League,2800000.00,475000.00
Blue Car,1000000.00,475367.00
Brotherly Love,1900000.00,478595.00
Bone Tomahawk,2000000.00,481525.00
The Extra Man,7000000.00,492108.00
L'incomparable mademoiselle C.,3400000.00,493905.00
Marilyn Hotchkiss' Ballroom Dancing and Charm School,2500000.00,497195.00
Idiocracy,2400000.00,500296.00
The Act of Killing,1000000.00,501289.00
The Other End of the Line,2500000.00,507446.00
In The Land of Blood and Honey,13000000.00,509193.00
The Wild Bunch,6000000.00,509424.00
Unsullied,1500000.00,510957.00
Madison,15500000.00,517262.00
The Singing Detective,8000000.00,524747.00
The Reluctant Fundamentalist,15000000.00,528731.00
Things to Do in Denver when You're Dead,15000000.00,529766.00
Standing Ovation,5600000.00,531806.00
Clockwatchers,2000000.00,539961.00
Dream With The Fishes,1000000.00,542909.00
Manderlay,14200000.00,543306.00
23 Blast,1000000.00,549185.00
The Lost Medallion: The Adventures of Billy Stone,2500000.00,549632.00
Heli,1000000.00,552614.00
Plastic,10000000.00,552641.00
Masked and Anonymous,7500000.00,555335.00
Ondine,12000000.00,557545.00
Poolhall Junkies,4000000.00,563711.00
Los Cronocrímenes,2600000.00,564474.00
Freedom,14500000.00,565801.00
Rudderless,5000000.00,567219.00
"Dancer, Texas Pop. 81",2300000.00,574838.00
The Wicked Lady,8000000.00,589308.00
Prefontaine,8000000.00,590817.00
Super,2500000.00,593933.00
Blue Like Jazz,1200000.00,595018.00
Maggie,4500000.00,597989.00
Swept Away,10000000.00,598645.00
Lonesome Jim,500000.00,602789.00
20 Dates,66000.00,602920.00
Bitter Harvest,21000000.00,606162.00
The Basket,1300000.00,609042.00
London to Brighton,825000.00,610776.00
Trekkies,375000.00,617172.00
Company Man,12000000.00,622273.00
Margaret,14000000.00,623292.00
Texas Rangers,38000000.00,623374.00
Orgazmo,1000000.00,627287.00
I Come with the Rain,18000000.00,627422.00
The Brown Bunny,10000000.00,630427.00
Ride With the Devil,35000000.00,630779.00
May,1750000.00,634803.00
Journey from the Fall,1300000.00,635305.00
The Virginity Hit,2000000.00,636706.00
The Oh in Ohio,5000000.00,648183.00
Heroes,400000.00,655538.00
Yes,1700000.00,661221.00
The Princess and the Cobbler,24000000.00,669276.00
Dayereh,10000.00,673780.00
The Salton Sea,18000000.00,676698.00
Stake Land,4000000.00,679482.00
Rubber,500000.00,680914.00
Feast,3200000.00,690872.00
Inside Deep Throat,2000000.00,691880.00
All the Real Girls,1000000.00,703020.00
Karakter,4500000.00,713413.00
Gerry,7000000.00,719699.00
Free Style,10000000.00,721108.00
Motherhood,10000000.00,723388.00
Valhalla Rising,5700000.00,731613.00
Out of the Blue,4600000.00,731767.00
The Square,1900000.00,740932.00
Love and Other Catastrophes,250000.00,743216.00
Trees Lounge,1300000.00,749741.00
Sherrybaby,2000000.00,759504.00
Praia do Futuro,4000000.00,760678.00
Beastmaster 2: Through the Portal of Time,6000000.00,773490.00
Survivor,20000000.00,774905.00
Without Limits,25000000.00,780326.00
POM Wonderful Presents: The Greatest Movie Ever Sold,1800000.00,783733.00
Trespass,35000000.00,786532.00
The Ten,5250000.00,786677.00
Molière,21600000.00,791154.00
Manglehorn,4000000.00,797439.00
The Barbarians,4000000.00,800000.00
Charly,950000.00,814666.00
Donkey Punch,750000.00,814801.00
Compliance,270000.00,830700.00
Hobo with a Shotgun,3000000.00,834953.00
Illuminata,10000000.00,836641.00
The Battle of Shaker Heights,1000000.00,839145.00
Primer,7000.00,841926.00
Higher Ground,1800000.00,842693.00
Alone with Her,1000000.00,844377.00
Atlas Shrugged: Who Is John Galt?,5000000.00,851690.00
Brigham City,1000000.00,852206.00
I Origins,1000000.00,852399.00
Redacted,5000000.00,861325.00
Miss Julie,5500000.00,863895.00
Latter Days,850000.00,865708.00
All Good Things,20000000.00,873617.00
Venom,25000000.00,881745.00
Pandora's Box,800000.00,881950.00
The Blood of Heroes,7700000.00,882290.00
Princess Kaiulani,9000000.00,883887.00
La otra conquista,3500000.00,886410.00
The Blue Bird,1200000.00,887000.00
The Caveman's Valentine,13500000.00,892506.00
Party Monster,5000000.00,894030.00
à L'Intérieur,3000000.00,895932.00
Mata Hari,558000.00,900000.00
The Brothers Solomon,10000000.00,900926.00
The Ballad of Gregorio Cortez,1305000.00,909000.00
Dungeons & Dragons: Wrath of the Dragon God,15000000.00,909822.00
Delgo,40000000.00,915840.00
Jimi: All is By My Side,5000000.00,927074.00
Aimée & Jaguar,6800000.00,927107.00
Wild Card,30000000.00,929157.00
Circumstance,900000.00,958978.00
Savage Grace,4600000.00,968805.00
Down in the Valley,8000000.00,973443.00
MirrorMask,4000000.00,973613.00
Another Happy Day,4000000.00,978527.00
Duma,12000000.00,994790.00
Fifty Dead Men Walking,10000000.00,997921.00
March or Die,7000000.00,1000000.00
Caravans,14000000.00,1000000.00
Ruby in Paradise,800000.00,1001437.00
The Girlfriend Experience,1300000.00,1005840.00
Owning Mahowny,10000000.00,1011054.00
The Innkeepers,750000.00,1011535.00
Chain Letter,3000000.00,1022453.00
Spun,4500000.00,1022649.00
Twin Falls Idaho,500000.00,1027228.00
Urbania,225000.00,1032075.00
A Home at the End of the World,6500000.00,1033810.00
Coriolanus,10000000.00,1049641.00
Light Sleeper,5000000.00,1050861.00
The Ten Commandments,10000000.00,1051907.00
Wonderland,5500000.00,1060512.00
The Oogieloves in the BIG Balloon Adventure,20000000.00,1065907.00
September Dawn,10100000.00,1066555.00
Undiscovered,9000000.00,1069318.00
50 to 1,10000000.00,1069454.00
Ain't Them Bodies Saints,5000000.00,1075009.00
Dinner Rush,2000000.00,1075504.00
USS Indianapolis: Men of Courage,40000000.00,1079040.00
Loin des hommes,7700000.00,1080428.00
Blood and Wine,26000000.00,1083350.00
Slam,1000000.00,1087521.00
A Little Bit of Heaven,12500000.00,1100287.00
Burn,225000.00,1109276.00
The R.M.,500000.00,1111615.00
The Ballad of Jack and Rose,1500000.00,1126258.00
Sholem Aleichem: Laughing in the Darkness,500000.00,1131261.00
In the Shadow of the Moon,2000000.00,1134358.00
L.I.E.,700000.00,1140965.00
Lolita,55000000.00,1147784.00
The Son of No One,15000000.00,1148578.00
Excessive Force,13000000.00,1152117.00
Get Real,2000000.00,1152411.00
Palo Alto,1000000.00,1156309.00
Chuck&Buck,250000.00,1157672.00
The Face of Love,4000000.00,1158877.00
Trois,200000.00,1161843.00
Tarnation,400000.00,1162014.00
King of California,10000000.00,1165102.00
The Overnight,200000.00,1165996.00
The Burning Plain,20000000.00,1167092.00
Groove,500000.00,1167524.00
Casa de Areia,3750000.00,1178175.00
Fiza,1000000.00,1179462.00
Kill the Irishman,12000000.00,1188194.00
Me and Orson Welles,25000000.00,1190003.00
Phantom,18000000.00,1199510.00
Anna,4357373.00,1200000.00
Darling Companion,12000000.00,1200346.00
Blackthorn,4500000.00,1217307.00
Slacker,23000.00,1227508.00
You Got Served: Beat The World,10000000.00,1230542.00
Slow Burn,15500000.00,1237615.00
The Future,1000000.00,1239174.00
Losin' It,7000000.00,1246141.00
Outlander,50000000.00,1250617.00
The Singles Ward,500000.00,1250798.00
Holy Girl,1400000.00,1261792.00
Twixt,7000000.00,1268346.00
Saving Face,2500000.00,1269705.00
I Spit on Your Grave,1750000.00,1278471.00
The Business of Strangers,6000000.00,1290920.00
Conversations with Other Women,450000.00,1297745.00
"War, Inc.",10000000.00,1299855.00
8 Million Ways to Die,18000000.00,1305114.00
The Good German,32000000.00,1308696.00
Saints and Soldiers,780000.00,1310470.00
Le hussard sur le toit,35000000.00,1320043.00
Travellers and Magicians,1800000.00,1322161.00
Damsels in Distress,3000000.00,1324299.00
Nikté,2400000.00,1333891.00
Mean Creek,500000.00,1348750.00
The City of Your Final Destination,8300000.00,1353296.00
Kansas City,19000000.00,1353824.00
The Secrets of Jonathan Sperry,1000000.00,1355079.00
The Offspring,1100000.00,1355728.00
Julia,6000000.00,1365108.00
American Desi,250000.00,1366235.00
Dogtooth,323000.00,1373407.00
"Gandhi, My Father",5000000.00,1375194.00
The Claim,13000000.00,1375635.00
Bully,2100000.00,1381824.00
"For a Good Time, Call",850000.00,1386088.00
ГЕРОЙ,7000000.00,1391410.00
Surveillance,3500000.00,1396395.00
Metropolis,15000000.00,1405032.00
The Funeral,12500000.00,1412799.00
Where the Truth Lies,25000000.00,1415656.00
Wendy and Lucy,300000.00,1416046.00
Polytechnique,6000000.00,1418304.00
Thr3e,2400000.00,1420418.00
Panic,1000000.00,1425707.00
I Hope They Serve Beer in Hell,7000000.00,1429453.00
No End In Sight,2000000.00,1433319.00
Northfork,1900000.00,1445140.00
Enter the Void,16000000.00,1467278.00
Queen of the Desert,36000000.00,1480089.00
Bubba Ho-Tep,1000000.00,1492895.00
Lion of the Desert,35000000.00,1500000.00
Salvador,4500000.00,1500000.00
Time Changer,825000.00,1500711.00
The Cottage,5000000.00,1504960.00
Trade,12000000.00,1513388.00
A Midnight Clear,5000000.00,1526697.00
Blonde Ambition,10000000.00,1537479.00
The Lords of Salem,1500000.00,1541131.00
The Statement,27000000.00,1545064.00
Chocolate: Deep Dark Secrets,1000000.00,1549000.00
Stan Helsing: A Parody,14000000.00,1553556.00
